Time Period Ending,Time Interval,Avg mph,Total Volume
14,0,62,71
29,1,62,98
44,2,60,159
59,3,58,229
74,4,57,238
89,5,56,252
104,6,55,227
119,7,57,199
134,8,59,200
149,9,59,185
164,10,59,150
179,11,57,155
194,12,59,142
209,13,60,101
224,14,59,115
239,15,60,88
254,16,60,94
269,17,59,101
284,18,58,88
299,19,59,60
314,20,61,75
329,21,60,88
344,22,60,93
359,23,62,75
374,24,62,99
389,25,61,106
404,26,63,77
419,27,60,86
434,28,63,97
449,29,61,101
464,30,58,106
479,31,61,117
494,32,61,100
509,33,61,97
524,34,62,109
539,35,62,138
554,36,63,142
569,37,64,155
584,38,64,250
599,39,64,224
614,40,62,257
629,41,62,284
644,42,62,362
659,43,62,392
674,44,62,454
689,45,61,505
704,46,62,504
719,47,61,584
734,48,60,630
749,49,59,689
764,50,58,719
779,51,57,800
794,52,57,741
809,53,55,732
824,54,53,719
839,55,49,754
854,56,53,589
869,57,53,859
884,58,54,846
899,59,54,776
914,60,54,679
929,61,53,762
944,62,55,716
959,63,54,713
974,64,54,684
989,65,54,655
1004,66,54,633
1019,67,53,707
1034,68,53,695
1049,69,53,701
1064,70,53,700
1079,71,56,617
1094,72,58,622
1109,73,56,584
1124,74,56,581
1139,75,57,567
1154,76,56,532
1169,77,57,521
1184,78,58,469
1199,79,59,444
1214,80,61,421
1229,81,62,396
1244,82,59,408
1259,83,60,372
1274,84,61,360
1289,85,59,312
1304,86,62,336
1319,87,60,306
1334,88,62,277
1349,89,61,244
1364,90,59,249
1379,91,63,216
1394,92,58,217
1409,93,64,148
1424,94,61,151
1439,95,62,137
14,0,63,100
29,1,65,101
44,2,62,94
59,3,62,74
74,4,63,79
89,5,62,55
104,6,63,52
119,7,61,56
134,8,61,54
149,9,59,31
164,10,60,37
179,11,64,28
194,12,62,28
209,13,60,22
224,14,65,21
239,15,57,21
254,16,62,31
269,17,57,42
284,18,59,52
299,19,64,43
314,20,61,49
329,21,60,78
344,22,63,94
359,23,63,88
374,24,64,94
389,25,62,133
404,26,63,146
419,27,62,148
434,28,61,129
449,29,62,169
464,30,60,167
479,31,62,160
494,32,62,164
509,33,62,176
524,34,65,214
539,35,64,213
554,36,63,227
